iter	Logloss
0	0.5491562341
1	0.429397478
2	0.3361513047
3	0.2634897468
4	0.2116873727
5	0.1719342831
6	0.1424936918
7	0.1165228923
8	0.09709198316
9	0.08246607963
10	0.07113684679
11	0.0624705012
12	0.05561739115
13	0.05043712181
14	0.04604213354
15	0.04241604465
16	0.03918495118
17	0.03675274933
18	0.03427851827
19	0.03224303499
20	0.03073687757
21	0.02916799345
22	0.02794405324
23	0.02699272068
24	0.02602548039
25	0.02557481101
26	0.02479367373
27	0.02405751328
28	0.02350547749
29	0.02303329595
30	0.02263348431
31	0.02220683682
32	0.02184627523
33	0.0215481266
34	0.0212683798
35	0.02107953098
36	0.02072478742
37	0.02047553898
38	0.02034312195
39	0.01995152764
40	0.01971959313
41	0.01953740306
42	0.01931940404
43	0.0191660436
44	0.01906241236
45	0.01898847579
46	0.01891567423
47	0.01881009366
48	0.01877575468
49	0.01866218834
50	0.01860203773
51	0.01848607581
52	0.01831961548
53	0.0181604905
54	0.01808547922
55	0.0180031491
56	0.01778306537
57	0.01770109756
58	0.01767492714
59	0.01758276161
60	0.01746951399
61	0.0172252427
62	0.01711857683
63	0.01702179746
64	0.0169751718
65	0.01691181195
66	0.01682009792
67	0.01668125848
68	0.0166471178
69	0.0164420093
70	0.01631609189
71	0.01626493955
72	0.01621477846
73	0.01605963716
74	0.01599776746
75	0.01581617727
76	0.01571841691
77	0.01560357133
78	0.0154682378
79	0.01536103228
80	0.01528689976
81	0.01521379639
82	0.01507182846
83	0.0150419996
84	0.01501176511
85	0.01491336683
86	0.01489502294
87	0.01470453391
88	0.01459424328
89	0.01449678654
90	0.01440554915
91	0.01432392732
92	0.01426304145
93	0.01415942344
94	0.01407092476
95	0.01403850506
96	0.01394639811
97	0.01384286238
98	0.01375837628
99	0.01368531281
100	0.01356620641
101	0.01351127944
102	0.01345436671
103	0.0134080619
104	0.01328156124
105	0.01321450606
106	0.01314420056
107	0.01307739422
108	0.0129666016
109	0.01292211794
110	0.0129002821
111	0.01284839984
112	0.01277996673
113	0.01274121295
114	0.01269918444
115	0.01263577451
116	0.01260165022
117	0.01253134052
118	0.01249921329
119	0.01246269943
120	0.01244859295
121	0.01237900897
122	0.01230711109
123	0.01227992473
124	0.01225520712
125	0.01222612689
126	0.0121945606
127	0.01216769411
128	0.01207655173
129	0.01201259388
130	0.01195871356
131	0.0119173458
132	0.01188340428
133	0.01184662146
134	0.01180142603
135	0.01177091473
136	0.01172770353
137	0.01168702494
138	0.01164937158
139	0.01160872514
140	0.01154339029
141	0.01147655373
142	0.01145432854
143	0.01141588373
144	0.01135704177
145	0.01130855111
146	0.01128792152
147	0.01126651457
148	0.01124567056
149	0.01121099698
150	0.01114652381
151	0.01111708108
152	0.01106993876
153	0.01105760409
154	0.0110244812
155	0.01101131951
156	0.01094584533
157	0.01091256691
158	0.01087827872
159	0.01085792004
160	0.01082399814
161	0.01079680292
162	0.01076889241
163	0.01075226722
164	0.01073305579
165	0.01067420201
166	0.01062925697
167	0.01061064626
168	0.01058734197
169	0.01057271029
170	0.01054714954
171	0.0105189939
172	0.01048575667
173	0.01046646127
174	0.01044320333
175	0.01042130585
176	0.01035411681
177	0.01032353145
178	0.01029438604
179	0.01026656486
180	0.01023392149
181	0.01022060957
182	0.01017751452
183	0.01015988331
184	0.0101393538
185	0.01012308391
186	0.01005900591
187	0.01003740587
188	0.01001440353
189	0.009981754298
190	0.009964722758
191	0.009930699611
192	0.009907851711
193	0.00988897232
194	0.009863224162
195	0.009832690739
196	0.009804741282
197	0.009778685904
198	0.009767878458
199	0.009737879603
200	0.009709521755
201	0.009695700955
202	0.009675145774
203	0.00965221898
204	0.009607418396
205	0.009581225102
206	0.009560822283
207	0.00955083566
208	0.009528759319
209	0.009503787276
210	0.009475724009
211	0.009462534024
212	0.009446479156
213	0.009427213085
214	0.009387718472
215	0.009371553201
216	0.009344402053
217	0.009333714901
218	0.009302273624
219	0.009293570216
220	0.009262064945
221	0.009224896002
222	0.009207635673
223	0.009184509394
224	0.009130590809
225	0.009085847856
226	0.009071900698
227	0.009027879568
228	0.009020701632
229	0.008997795041
230	0.008981571573
231	0.008968138656
232	0.00894934404
233	0.008925210919
234	0.008910758769
235	0.008902812917
236	0.008839138173
237	0.00882668175
238	0.008814518282
239	0.008796052179
240	0.008788628365
241	0.008759061007
242	0.008751598572
243	0.008729077966
244	0.008719103792
245	0.008712445956
246	0.008688500172
247	0.008654386144
248	0.008640366157
249	0.008603515794
250	0.008587029839
251	0.00857424052
252	0.008553613269
253	0.00849254415
254	0.008435605403
255	0.00841634459
256	0.008399216268
257	0.008382965766
258	0.008355146751
259	0.008345165193
260	0.008336884523
261	0.008321023746
262	0.008312351087
263	0.008289170867
264	0.008279431888
265	0.008254782842
266	0.00824504516
267	0.008232941405
268	0.008208973333
269	0.008197856272
270	0.008183272473
271	0.008167759634
272	0.008149510029
273	0.008143259031
274	0.008118395837
275	0.008091919705
276	0.008071905801
277	0.008022669643
278	0.008011792149
279	0.007998994977
280	0.007971162962
281	0.007948750655
282	0.007935181272
283	0.007919077546
284	0.007886965423
285	0.007859387037
286	0.007844302961
287	0.007839902532
288	0.007825156018
289	0.007815418746
290	0.007809525653
291	0.007800519247
292	0.007778505364
293	0.007770207238
294	0.007769516063
295	0.007761444496
296	0.007746728096
297	0.007737838691
298	0.0077235084
299	0.007701984381
300	0.007684881544
301	0.007667373571
302	0.007659738696
303	0.007642968723
304	0.007635447431
305	0.007622195757
306	0.00761495058
307	0.007588566808
308	0.007556059331
309	0.007546135818
310	0.007533420972
311	0.007529637757
312	0.007524666069
313	0.007508330158
314	0.007499170154
315	0.007492502648
316	0.007476475557
317	0.007463993167
318	0.007451475481
319	0.00742772431
320	0.007423561182
321	0.007409478113
322	0.007400441425
323	0.007370515783
324	0.00736540134
325	0.007355381439
326	0.007348418953
327	0.007342041794
328	0.007341718247
329	0.007331151516
330	0.007312199009
331	0.007286135491
332	0.007250787671
333	0.00724668815
334	0.007237664811
335	0.007231561202
336	0.007227808713
337	0.00721492758
338	0.007206123706
339	0.007200361932
340	0.00720010129
341	0.007184409028
342	0.00716921726
343	0.007167046854
344	0.007141228098
345	0.007112540289
346	0.007087804941
347	0.007078043615
348	0.00706443472
349	0.007049602602
350	0.007012241148
351	0.006995752866
352	0.006977073372
353	0.006971197131
354	0.006961283294
355	0.006953926283
356	0.006950728976
357	0.006939526003
358	0.006929710312
359	0.006917926702
360	0.006911830474
361	0.006877766375
362	0.006872841655
