iter	Passed	Remaining
411	4236	6045
412	4245	6034
413	4257	6025
414	4267	6015
415	4277	6004
416	4287	5994
417	4297	5983
418	4308	5974
419	4319	5965
420	4333	5959
421	4345	5952
422	4386	5983
423	4396	5972
424	4406	5961
425	4416	5950
426	4426	5939
427	4436	5929
428	4446	5917
429	4457	5908
430	4468	5898
431	4477	5887
432	4488	5877
433	4499	5867
434	4509	5857
435	4520	5847
436	4530	5837
437	4541	5826
438	4551	5816
439	4561	5805
440	4572	5795
441	4582	5785
442	4593	5775
443	4604	5765
444	4614	5754
445	4623	5742
446	4632	5731
447	4643	5720
448	4653	5710
449	4663	5699
450	4672	5688
451	4683	5678
452	4693	5667
453	4703	5656
454	4713	5645
455	4723	5634
456	4735	5626
457	4745	5616
458	4756	5605
459	4768	5597
460	4779	5588
461	4791	5580
462	4802	5570
463	4813	5560
464	4823	5549
465	4834	5539
466	4845	5529
467	4855	5519
468	4866	5509
469	4877	5499
470	4887	5489
471	4897	5478
472	4907	5468
473	4918	5457
474	4929	5447
475	4939	5437
476	4949	5427
477	4960	5416
478	4970	5406
479	4981	5396
480	4992	5386
481	5002	5376
482	5014	5367
483	5026	5358
484	5037	5349
485	5048	5339
486	5060	5330
487	5071	5321
488	5082	5311
489	5094	5301
490	5105	5292
491	5116	5282
492	5127	5273
493	5138	5263
494	5150	5254
495	5160	5243
496	5171	5233
497	5181	5223
498	5192	5212
499	5202	5202
500	5213	5192
501	5224	5182
502	5235	5172
503	5245	5161
504	5255	5151
505	5266	5141
506	5276	5131
507	5287	5120
508	5297	5110
509	5311	5103
510	5325	5095
511	5337	5086
512	5349	5078
513	5361	5069
514	5374	5061
515	5387	5052
516	5400	5044
517	5412	5036
518	5425	5028
519	5438	5020
520	5451	5012
521	5465	5004
522	5477	4995
523	5490	4987
524	5503	4979
525	5516	4971
526	5529	4963
527	5541	4954
528	5555	4946
529	5569	4939
530	5583	4931
531	5597	4923
532	5610	4915
533	5623	4907
534	5636	4898
535	5649	4890
536	5662	4882
537	5675	4873
538	5688	4864
539	5701	4856
540	5714	4848
541	5727	4839
542	5739	4830
543	5753	4822
544	5766	4814
545	5779	4805
546	5792	4796
547	5805	4788
548	5818	4779
549	5831	4770
550	5843	4761
551	5856	4753
552	5869	4744
553	5884	4737
554	5897	4728
555	5911	4720
556	5924	4711
557	5944	4708
558	5956	4698
559	5968	4689
560	5983	4682
561	5997	4673
562	6010	4665
563	6024	4656
564	6037	4648
565	6051	4639
566	6079	4642
567	6092	4633
568	6104	4623
569	6127	4622
570	6140	4613
571	6154	4605
572	6168	4596
573	6182	4588
574	6195	4579
575	6208	4570
576	6222	4561
577	6234	4552
578	6247	4542
579	6261	4533
580	6274	4524
581	6288	4516
582	6300	4506
583	6314	4497
584	6327	4488
585	6340	4479
586	6354	4470
587	6368	4462
588	6381	4452
589	6394	4443
590	6407	4434
591	6420	4424
592	6432	4414
593	6444	4404
594	6458	4395
595	6471	4386
596	6485	4377
597	6497	4368
598	6510	4358
599	6523	4349
600	6537	4339
601	6550	4330
602	6563	4321
603	6576	4311
604	6589	4302
605	6602	4292
606	6617	4284
607	6630	4275
608	6643	4265
609	6657	4256
610	6670	4247
611	6684	4237
612	6697	4228
613	6710	4218
614	6724	4209
615	6737	4199
616	6751	4190
617	6764	4181
618	6777	4171
619	6791	4162
620	6804	4152
621	6817	4143
622	6830	4133
623	6844	4123
624	6857	4114
625	6871	4105
626	6884	4095
627	6897	4085
628	6909	4075
629	6922	4065
630	6935	4055
631	6946	4044
632	6958	4034
633	6971	4024
634	6984	4014
635	6997	4004
636	7010	3994
637	7019	3983
638	7033	3973
639	7045	3963
640	7059	3953
641	7071	3943
642	7084	3933
643	7097	3923
644	7110	3913
645	7122	3903
646	7135	3892
647	7148	3883
648	7162	3873
649	7176	3864
650	7188	3853
651	7201	3843
652	7214	3833
653	7226	3823
654	7240	3813
655	7252	3803
656	7266	3793
657	7278	3783
658	7291	3772
659	7303	3762
660	7316	3752
661	7329	3742
662	7343	3732
663	7356	3722
664	7369	3712
665	7382	3702
666	7395	3692
667	7406	3681
668	7419	3670
669	7432	3660
670	7445	3650
671	7458	3640
672	7471	3630
673	7484	3620
674	7497	3609
675	7511	3599
676	7524	3590
677	7537	3579
678	7549	3568
679	7559	3557
